id,title,rating,review_count,review_url,address
0,Orlando International Premium Outlets,4.5 of 5 bubbles,"8,692 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d1936511-Reviews-Orlando_International_Premium_Outlets-Orlando_Florida.html#REVIEWS,"|||4951 International Drive, Orlando"
1,Orlando International Premium Outlets,4.5 of 5 bubbles,"8,692 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d1936511-Reviews-Orlando_International_Premium_Outlets-Orlando_Florida.html#REVIEWS,"|||4951 International Drive, Orlando"
2,Orlando Vineland Premium Outlets,4.5 of 5 bubbles,"5,801 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d252910-Reviews-Orlando_Vineland_Premium_Outlets-Orlando_Florida.html#REVIEWS,"|||8200 Vineland Avenue, Orlando"
3,Gray Line Orlando,4.5 of 5 bubbles,"2,596 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d1770871-Reviews-Gray_Line_Orlando-Orlando_Florida.html#REVIEWS,"|||7091 Grand National Dr Ste 102, Orlando"
4,Access Line Transportation,4.5 of 5 bubbles,"1,415 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d7987291-Reviews-Access_Line_Transportation-Orlando_Florida.html#REVIEWS,"|||2524 Monaco Cove Cir, Orlando"
5,SEA LIFE Orlando Aquarium,4.5 of 5 bubbles,"2,349 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d7776698-Reviews-SEA_LIFE_Orlando_Aquarium-Orlando_Florida.html#REVIEWS,"|||8337 International Dr, Orlando"
6,Orlando Princess & Canaveral Princess Deep Sea Fishing,4.5 of 5 bubbles,609 reviews,https://www.tripadvisor.com/Attraction_Review-g34574-d1450255-Reviews-Orlando_Princess_Canaveral_Princess_Deep_Sea_Fishing-Port_Canaveral_Brevard_County.html#REVIEWS,"|||670 Glen Cheek Dr, Port Canaveral"
7,International Drive,4.5 of 5 bubbles,"4,768 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d143441-Reviews-International_Drive-Orlando_Florida.html#REVIEWS,"|||9150 International Drive, Orlando"
8,Happy Shuttle Cancun,4.5 of 5 bubbles,"10,910 reviews",https://www.tripadvisor.com/Attraction_Review-g150807-d3665613-Reviews-Happy_Shuttle_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS,|||Cancun
9,Devon Transportation,4.5 of 5 bubbles,541 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d10806491-Reviews-Devon_Transportation-Orlando_Florida.html#REVIEWS,"|||9900 Hidden River Dr, Orlando"
10,iFLY Indoor Skydiving - Orlando,4.5 of 5 bubbles,"2,041 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d557368-Reviews-IFLY_Indoor_Skydiving_Orlando-Orlando_Florida.html#REVIEWS,"|||8969 International Dr, Orlando"
11,Orlando Transfer LLC,4.5 of 5 bubbles,717 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d8391562-Reviews-Orlando_Transfer_LLC-Orlando_Florida.html#REVIEWS,"|||2082 Chatham Place Dr, Orlando"
12,The Wheel at ICON Park,4.5 of 5 bubbles,"4,432 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d17234162-Reviews-The_Wheel_at_ICON_Park-Orlando_Florida.html#REVIEWS,"|||8445 International Dr, Orlando"
13,Wild Willy's Airboat Tours,4.5 of 5 bubbles,"7,805 reviews",https://www.tripadvisor.com/Attraction_Review-g34601-d1489614-Reviews-Wild_Willy_s_Airboat_Tours-Saint_Cloud_Florida.html#REVIEWS,"|||4715 Kissimmee Park Road, Saint Cloud"
