timestamp,text
Search transcript,Transcript
"In a state that sells millions of theme park tickets every year, where people line up by the hundreds for the hottest clubs in Miami, this is one of the few",0:00
7 seconds,0:07
0:15,"gates where money doesn't matter. Beyond the park entrance fee, this experience is free. You just have to get here early enough to claim one of the 30 daily"
spots to see one of the wildest places left in Florida. This is Deep Hole. Deep Hole is one of the most alligator dense,15 seconds
24 seconds,0:24
0:32,"single locations on Earth. It's hidden inside the massive Maka River State Park near Sarasota. And on paper, it almost"
"sounds made up. A remote sinkhole surrounded by wilderness, famous for attracting huge numbers of gators. But there's just one little catch.",32 seconds
41 seconds,0:41
0:50,"Physically getting there is fairly straightforward, just as long as you're up for a nice little hike. But at the same time, it can be weirdly difficult."
Only 30 people are allowed into this part of the park each day. Period. Which means in a state with millions of residents and well over a 100 million,50 seconds
57 seconds,0:57
1:08,"visitors a year, a permit to Deep Hole is a surprisingly hot ticket, especially in the drier months when the alligators can gather here in epic numbers. To get one, you just need to get here early."
"And I mean early, early. The park opens at 8:00 a.m., but it's not unusual to see cars lined up at the entrance well before sunrise, all hoping to score one","1 minute, 8 seconds"
"1 minute, 17 seconds",1:17
1:25,"of those 30 permits, those 30 golden tickets. We know because this was our second try. The first time we came out"
"here, we just missed the cutoff. We made it into the park, got in line, and came painfully close. They had just one","1 minute, 25 seconds"
"1 minute, 32 seconds",1:32
1:40,"permit left for the day. The problem was there was two of us. But on this try, we made it in, and what followed was a walk"
into one of the wildest places in the state. Most people think of Sarasota as St.,"1 minute, 40 seconds"
"1 minute, 47 seconds",1:47
1:52,"Arman Circle, Siesta Key, luxury condos, wealthy retirees playing pickle ball,"
"and sugar white sand. But 10 minutes into this trail, you'll start to realize this town has a completely different","1 minute, 52 seconds"
"1 minute, 59 seconds",1:59
2:09,"side to it. Vast stretches of open prairie and scrub land broken up by wetlands, hammocks, rivers, lakes, and pinelands. The whole area has this raw,"
"open, untamed feel that a lot of Florida has long since paved over. Being out here, hiking down this trail in this","2 minutes, 9 seconds"
"2 minutes, 17 seconds",2:17
2:24,"open wilderness feels like an actual adventure. Not just a day out, an actual adventure. Maka River State Park is one"
"of Florida's oldest and largest state parks. It covers nearly 58 square miles,","2 minutes, 24 seconds"
"2 minutes, 30 seconds",2:30
2:35,and it's one of those places where you can totally forget about new strip malls and housing developments for a while.
"This is what Florida looked like centuries ago, completely preserved, completely untouched.","2 minutes, 35 seconds"
"2 minutes, 43 seconds",2:43
2:52,"Now, Deep Hole is not exactly conveniently located. Of course, it isn't. That would be too easy. But it would also be a lot less fun and a lot less rewarding to get there. Instead,"
"after you get your permit and your parking pass, you head out on this long exposed hike across vast open prairie.","2 minutes, 52 seconds"
"2 minutes, 58 seconds",2:58
3:02,"And the whole way there, the park is slowly building the suspense for you."
You're not just walking up to visit a tourist attraction. You're on an adventure to find it. An actual adventure to an ancient lake full of,"3 minutes, 2 seconds"
"3 minutes, 10 seconds",3:10
3:16,"dinosaurs. And on the way, Maka gives you plenty to look at. Big open skies,"
"long flat trails, birds everywhere. The kind of scenery that makes you feel like you've wandered into the version of Florida written about in books like a","3 minutes, 16 seconds"
"3 minutes, 23 seconds",3:23
3:31,"land remembered. Sometimes I even got this desert southwest vibe from the place. Now, this isn't the desert southwest, of course, but it weirdly"
"does give off the vibe of hiking through a spaghetti western. Just something about the big skies, the vast landscape,","3 minutes, 31 seconds"
"3 minutes, 37 seconds",3:37
3:45,and pine scrub gave me that feeling. Or maybe I've just spent too much time playing Red Dead Redemption 2. We even stopped to look at this big group of
"vultures, some circling over who knows what, and many other landing and hanging out on these dead trees. It was a pretty creepy site that reminded me of an old","3 minutes, 45 seconds"
"3 minutes, 53 seconds",3:53
4:04,Disney cartoon. And nothing says scenic adventure quite like dozens of scavengers hanging around you like they're checking your pulse to see if you're worth waiting for.
This is also the kind of place where those skunk ape jokes start to feel a little less like a joke. If there ever was a place in Florida where a legendary smelly swamp crypted could be lurking,"4 minutes, 4 seconds"
"4 minutes, 12 seconds",4:12
4:15,"just out of frame, this would be a strong candidate."
I'm wearing his shirt just in case we do see him because I got to tell him I'm a big fan. I'm a big fan of his work.,"4 minutes, 15 seconds"
"4 minutes, 21 seconds",4:21
4:25,"So, the walk out there is a strange mix of beauty, anticipation, and adventure."
"Now, the hike deep hole is 2.2 mi each way. So, this is not really some grueling death march through the wilderness, but it's also not one of","4 minutes, 25 seconds"
"4 minutes, 33 seconds",4:33
4:38,those little familyfriendly nature stroll situations either where you casually wander out there in flip-flops.
"And it's long enough to feel like you've earned it by the end. It's a flat straight out and back through the prairie with no real elevation changes,","4 minutes, 38 seconds"
"4 minutes, 46 seconds",4:46
4:53,"but the loose sand in places can make it feel a little bit more annoying than you'd expect. And shade, almost none."
"This is not a hike I'd choose for a sweltering summer afternoon. Bring good footwear, sunscreen, snacks, your phone,","4 minutes, 53 seconds"
"4 minutes, 59 seconds",4:59
5:09,"and plenty of water. And I mean plenty of water. Only 30 people a day are allowed out here, so depending on the day and the time, you may go long stretches without seeing another person,"
which is part of the appeal. But it's also a good reason to hike smart.,"5 minutes, 9 seconds"
"5 minutes, 14 seconds",5:14
5:23,"Now, if you've never heard of Deepphole before, here's why it's famous. This place has a reputation for being one of the most alligator-packed single locations anywhere on the planet."
"Deep hole is a large sink hole that drops down to about 140 ft. And in the dry season when the surrounding water levels drop, fish and other gator bait","5 minutes, 23 seconds"
"5 minutes, 31 seconds",5:31
5:40,"can become concentrated in the hole. And that turns deep hole into a magnet for alligators. On the right day, in the right conditions, the number of gators"
"here can get pretty ridiculous. I'm talking gatorland levels, but right out here in the wild. That's what gives this place its almost mythical reputation.","5 minutes, 40 seconds"
"5 minutes, 49 seconds",5:49
5:57,It's not just a scenic pond with a few lazy reptiles sunning on the bank. It's one of those rare places where Florida's prehistoric side shows up in huge
"numbers. And because access is limited and the hike is a little bit long, it has this extra layer of mystery. Not everybody gets to see it. Not everybody","5 minutes, 57 seconds"
"6 minutes, 5 seconds",6:05
6:10,"gets in, and not every visit looks the same."
"And after that hike and that buildup, we finally arrived. Or at least we thought we did. because what we found looked a lot less like a legendary gator sinkhole","6 minutes, 10 seconds"
"6 minutes, 18 seconds",6:18
6:26,"and more like well a river. No giant congregation of alligators, no prehistoric pit of reptilian doom, just"
a lot of water. So I got to say I feel a little bit like Clark Griswald at the end of vacation when they drove like across the country to go to Wally World and it was closed. We just did a little,"6 minutes, 26 seconds"
"6 minutes, 35 seconds",6:35
6:42,"bit over a two-mile hike. A beautiful hike. Absolutely worth it. Would do the hike again. So, I'm not complaining about the hike, but it was a two-mile hike to get out here to uh to get out"
"here to Deep Hole. And the ranger over here had said there's been enough rain where Deep Hole is flooded and it's now connected to the river, which has","6 minutes, 42 seconds"
"6 minutes, 50 seconds",6:50
6:57,"dispersed the gators. Normally, they love to collect in this big deep sink hole right here during the dry season, which I thought we were still in."
"Apparently, there's been enough rain that it's not really the dry season here anymore. But, uh there are some gators way over there on the other side that","6 minutes, 57 seconds"
"7 minutes, 4 seconds",7:04
7:07,you can barely see with my camera. I can see them right now. A lot of gators.
"Actually, a lot more gators that I saw a few minutes ago. But deep hole wasn't closed. We just weren't in the right spot yet. Once we got to the actual","7 minutes, 7 seconds"
"7 minutes, 16 seconds",7:16
7:25,"spot, yes, there was definitely a lot of gators. A lot of gators. Just not in the tightly packed, stacked on top of each other dry season version Deep Hole is"
"most famous for. And that's because the water was actually high today, which surprised me because a lot of the state has been in the middle of a really bad","7 minutes, 25 seconds"
"7 minutes, 32 seconds",7:32
7:37,"drought. But a park ranger said that rains up north have filled the river just enough to connect deep hole to it,"
which means the alligators are not forced into the same big concentration.,"7 minutes, 37 seconds"
"7 minutes, 41 seconds",7:41
7:49,"So instead of getting the alligator apocalypse version of deep hole, we got the high water version, which was still one of the most gatoracked places I've"
"ever seen. And honestly, that's still pretty fascinating because it changes the story from look at this guaranteed gator freak show to this place is alive,","7 minutes, 49 seconds"
"7 minutes, 58 seconds",7:58
8:06,"seasonal, and unpredictable. It's a reminder this is not a zoo exhibit. It's not a scheduled performance. It's not a bunch of Disney animatronics but with"
more teeth. Florida Wilderness doesn't care what you're hoping for. It just does what it does. And I think that's what makes Deep Hole a lot more,"8 minutes, 6 seconds"
"8 minutes, 14 seconds",8:14
8:22,"interesting. The simple version of the story would be we hiked out here, saw a bunch of gators, and went home. But our story was a little stranger and better."
"We got turned away the first time we had to come back. We crossed one of Florida's wildest feeling landscapes,","8 minutes, 22 seconds"
"8 minutes, 28 seconds",8:28
8:36,"made a detour into a Clark Griswald emotional spiral, and then found out the Deep Hole is not some fixed attraction. It changes with the season, the water,"
"and a little bit of luck. A place can be half beautiful, half absurd, and half actively trying to humble you. Yes, that is three halves. This is Florida math.","8 minutes, 36 seconds"
"8 minutes, 45 seconds",8:45
8:54,"But Deep Hole does not just hand you the spectacle. You have to earn it a little bit, sometimes twice. And that's what stayed with me the most. It wasn't just"
"the gators. It was the atmosphere. Deep Hole feels prehistoric. Not in a cheesy roadside attraction way, but in a real","8 minutes, 54 seconds"
"9 minutes, 2 seconds",9:02
9:09,"way. It feels like a pocket of the state that still operates under older rules. Long distances, harsh sun, big silence,"
"birds overhead, big skies, reptiles in the water, no boardwalk, no curated experience, no guarantee you're even","9 minutes, 9 seconds"
"9 minutes, 17 seconds",9:17
9:23,"going to see what you came for. And in a state that's often reduced to beaches, theme parks, and Florida man headlines,"
"places like this are a reminder that Florida is still underneath all of that a pretty wild place. And that's what makes Maka special, too. It's not just","9 minutes, 23 seconds"
"9 minutes, 32 seconds",9:32
9:41,"big, it feels old. It's one of those landscapes where Florida stops being a backdrop and starts feeling like the main character. And Deep Hole may be one"
"of the best examples of that I've seen in the state. Not because it always gives you the exact same show you came here to see, but because it feels hidden, difficult, strange, and very,","9 minutes, 41 seconds"
"9 minutes, 50 seconds",9:50
10:01,"very Florida. So, if you ever get a chance to make it out here and you make the 30 person cut off, Deep Hole is absolutely one of the weirdest and most memorable places you can see in Florida,"
"just know it might not give you the exact version you had in your head. And honestly, that's what makes it worth seeing. It's different every time. And","10 minutes, 1 second"
"10 minutes, 9 seconds",10:09
10:20,"if you enjoyed this one, please hit like, please hit subscribe, please share this to someone who might want to see this because I'm always out here looking for the weirdest, wildest, and most surprising places Florida has to offer."
"Until the next one, please be safe out there. Please be nice to each other out there, and I will see you around the Sunshine State.","10 minutes, 20 seconds"
