SiteSurveyID,SiteCode,EventID,SiteSelection,SiteLatitude,SiteLongitude,SiteSubregion,SiteZone,SiteTeam
2024.2.ANU.1019.R,2024.2.ANU.1019,2024.2.ANU,R,27.018134,-80.069349,Martin County,Reef Ridge Complex,Palm Beach Zoo
2024.2.ANU.1020.R,2024.2.ANU.1020,2024.2.ANU,R,27.013291,-80.068585,Martin County,Reef Ridge Complex,Palm Beach Zoo
2024.2.ANU.1021.R,2024.2.ANU.1021,2024.2.ANU,R,27.00694,-80.067099,Martin County,Reef Ridge Complex,Palm Beach Zoo
2024.2.ANU.1022.R,2024.2.ANU.1022,2024.2.ANU,R,27.0065,-80.068129,Martin County,Reef Ridge Complex,Palm Beach Zoo
2024.2.ANU.1023.R,2024.2.ANU.1023,2024.2.ANU,R,27.005846,-80.066902,Martin County,Reef Ridge Complex,Palm Beach Zoo
2024.2.ANU.1063.R,2024.2.ANU.1063,2024.2.ANU,R,26.615969,-80.023223,South Palm Beach,Outer Reef,Palm Beach County
2024.2.ANU.1064.R,2024.2.ANU.1064,2024.2.ANU,R,26.614995,-80.023759,South Palm Beach,Outer Reef,Palm Beach County
2024.2.ANU.1065.R,2024.2.ANU.1065,2024.2.ANU,R,26.607414,-80.023453,South Palm Beach,Outer Reef,Palm Beach County
2024.2.ANU.1066.R,2024.2.ANU.1066,2024.2.ANU,R,26.600197,-80.024671,South Palm Beach,Outer Reef,Palm Beach County
2024.2.ANU.1071.R,2024.2.ANU.1071,2024.2.ANU,R,26.561399,-80.027863,South Palm Beach,Undetermined,DEP-West Palm
2024.2.ANU.1072.R,2024.2.ANU.1072,2024.2.ANU,R,26.552349,-80.030451,South Palm Beach,Undetermined,DEP-West Palm
2024.2.ANU.1074.R,2024.2.ANU.1074,2024.2.ANU,R,26.521214,-80.032971,South Palm Beach,Outer Reef,DEP-West Palm
2024.2.ANU.1077.R,2024.2.ANU.1077,2024.2.ANU,R,26.465805,-80.043716,South Palm Beach,Outer Reef,DEP-West Palm
2024.2.ANU.1083.R,2024.2.ANU.1083,2024.2.ANU,R,26.241249,-80.083107,Broward-Miami,Inshore,Broward County
2024.2.ANU.1084.R,2024.2.ANU.1084,2024.2.ANU,R,26.237202,-80.08564,Broward-Miami,Inshore,Broward County
2024.2.ANU.1086.R,2024.2.ANU.1086,2024.2.ANU,R,26.23089,-80.087189,Broward-Miami,Inshore,Broward County
2024.2.ANU.1087.R,2024.2.ANU.1087,2024.2.ANU,R,26.228138,-80.0802,Broward-Miami,Undetermined,Broward County
2024.2.ANU.1089.R,2024.2.ANU.1089,2024.2.ANU,R,26.226822,-80.08622,Broward-Miami,Inshore,Broward County
2024.2.ANU.1090.R,2024.2.ANU.1090,2024.2.ANU,R,26.22366,-80.085747,Broward-Miami,Inshore,Broward County
2024.2.ANU.1091.R,2024.2.ANU.1091,2024.2.ANU,R,26.223221,-80.087753,Broward-Miami,Inshore,Broward County
2024.2.ANU.1092.R,2024.2.ANU.1092,2024.2.ANU,R,26.217794,-80.088824,Broward-Miami,Inshore,Broward County
2024.2.ANU.1094.R,2024.2.ANU.1094,2024.2.ANU,R,26.202915,-80.089409,Broward-Miami,Inshore,Broward County
2024.2.ANU.1095.R,2024.2.ANU.1095,2024.2.ANU,R,26.202894,-80.085907,Broward-Miami,Inshore,Broward County
2024.2.ANU.1096.R,2024.2.ANU.1096,2024.2.ANU,R,26.191198,-80.092506,Broward-Miami,Inshore,Broward County
2024.2.ANU.1097.R,2024.2.ANU.1097,2024.2.ANU,R,26.188919,-80.08902,Broward-Miami,Inshore,Broward County
2024.2.ANU.1098.R,2024.2.ANU.1098,2024.2.ANU,R,26.18891,-80.087517,Broward-Miami,Inshore,Broward County
2024.2.ANU.1099.R,2024.2.ANU.1099,2024.2.ANU,R,26.186207,-80.088539,Broward-Miami,Inshore,Broward County
2024.2.ANU.1102.R,2024.2.ANU.1102,2024.2.ANU,R,26.175322,-80.08062,Broward-Miami,Middle Reef,Broward County
2024.2.ANU.1104.R,2024.2.ANU.1104,2024.2.ANU,R,26.170824,-80.08266,Broward-Miami,Undetermined,NOVA Southeastern University
