SiteSurveyID,SiteZone,SiteHabitat
2025.1.ANU.1020.R,Reef Ridge Complex,RGDP_LR
2025.1.ANU.1021.R,Reef Ridge Complex,DPRC_LR
2025.1.ANU.1022.R,Reef Ridge Complex,RGDP_LR
2025.1.ANU.1023.R,Reef Ridge Complex,RGDP_LR
2025.1.ANU.1025.R,Reef Ridge Complex,DPRC_LR
2025.1.ANU.1026.R,Reef Ridge Complex,DPRC_LR
2025.1.ANU.1027.R,Reef Ridge Complex,DPRC_LR
2025.1.ANU.1051.R,Outer Reef,LIRO_HR
2025.1.ANU.1052.R,Outer Reef,LIRO_HR
2025.1.ANU.1053.R,Outer Reef,LIRO_HR
2025.1.ANU.1054.R,Outer Reef,LIRO_HR
2025.1.ANU.1055.R,Outer Reef,LIRO_HR
2025.1.ANU.1056.R,Outer Reef,LIRO_HR
2025.1.ANU.1057.R,Outer Reef,LIRO_LR
2025.1.ANU.1059.R,Outer Reef,SPGR_HR
2025.1.ANU.1060.R,Undetermined,PTSH_LR
2025.1.ANU.1061.R,Outer Reef,LIRO_HR
2025.1.ANU.1062.R,Outer Reef,LIRO_HR
2025.1.ANU.1063.R,Outer Reef,SPGR_HR
2025.1.ANU.1064.R,Outer Reef,LIRO_HR
2025.1.ANU.1065.R,Outer Reef,SPGR_HR
2025.1.ANU.1066.R,Outer Reef,LIRO_HR
2025.1.ANU.1068.R,Inshore,RGSH_LR
2025.1.ANU.1069.R,Inshore,RGSH_LR
2025.1.ANU.1070.R,Inshore,CPSH_LR
2025.1.ANU.1071.R,Middle Reef,LIRM_HR
2025.1.ANU.1072.R,Inshore,RGSH_LR
2025.1.ANU.1073.R,Inshore,RGSH_LR
2025.1.ANU.1074.R,Inshore,RGSH_LR
2025.1.ANU.1075.R,Inshore,RGSH_LR
2025.1.ANU.1076.R,Middle Reef,LIRM_HR
2025.1.ANU.1077.R,Inshore,RGSH_LR
2025.1.ANU.1078.R,Inshore,RGSH_LR
2025.1.ANU.1079.R,Inshore,RGSH_LR
2025.1.ANU.1080.R,Inshore,CPSH_LR
2025.1.ANU.1081.R,Inshore,RGSH_LR
2025.1.ANU.1082.R,Inner Reef,LIRI_HR
2025.1.ANU.1083.R,Inshore,RGSH_LR
2025.1.ANU.1084.R,Inshore,RGSH_LR
2025.1.ANU.1085.R,Middle Reef,LIRM_HR
2025.1.ANU.1086.R,Outer Reef,LIRO_HR
2025.1.ANU.1087.R,Inshore,RGSH_LR
2025.1.ANU.1088.R,Outer Reef,CPDP_HR
2025.1.ANU.1089.R,Inner Reef,LIRI_LR
2025.1.ANU.1090.R,Inshore,RGSH_LR
2025.1.ANU.1091.R,Middle Reef,LIRM_LR
2025.1.ANU.1092.R,Inshore,RGSH_LR
2025.1.ANU.1093.R,Inshore,CPSH_LR
2025.1.ANU.1094.R,Inshore,RGSH_HR
2025.1.ANU.1095.R,Inner Reef,LIRI_HR
2025.1.ANU.1096.R,Inshore,CPSH_LR
2025.1.ANU.1097.R,Inshore,RGSH_LR
2025.1.ANU.1098.R,Inshore,RGSH_LR
2025.1.ANU.1099.R,Inshore,CPSH_LR
2025.1.ANU.1100.R,Inner Reef,LIRI_HR
2025.1.ANU.1101.R,Inner Reef,LIRI_HR
2025.1.ANU.1102.R,Middle Reef,LIRM_LR
2025.1.ANU.1103.R,Middle Reef,LIRM_LR
2025.1.ANU.1104.R,Inshore,CPSH_LR
2025.1.ANU.1105.R,Outer Reef,LIRO_HR
2025.1.ANU.1106.R,Inshore,CPSH_LR
2025.1.ANU.1107.R,Inshore,CPSH_LR
2025.1.ANU.1108.R,Inshore,CPSH_LR
2025.1.ANU.1109.R,Inshore,CPSH_LR
2025.1.ANU.1110.R,Inshore,CPSH_LR
2025.1.ANU.1116.R,Inshore,CPSH_LR
2025.1.ANU.1117.R,Inshore,RGSH_LR
2025.1.ANU.1119.R,Inshore,CPSH_LR
2025.1.ANU.1120.R,Inner Reef,LIRI_LR
2025.1.ANU.1121.R,Inshore,CPSH_LR
2025.1.ANU.1122.R,Inshore,RGSH_LR
2025.1.ANU.1123.R,Inshore,RGSH_HR
2025.1.ANU.1124.R,Inshore,CPSH_LR
2025.1.ANU.1125.R,Inshore,CPSH_LR
2025.1.ANU.1126.R,Inshore,CPSH_LR
2025.1.ANU.1127.R,Inshore,CPSH_LR
2025.1.ANU.1128.R,Inshore,CPSH_LR
2025.1.ANU.1129.R,Inshore,CPSH_LR
2025.1.ANU.1130.R,Outer Reef,CPDP_LR
2025.1.ANU.1131.R,Inshore,CPSH_LR
2025.1.ANU.1132.R,Inshore,CPSH_LR
2025.1.ANU.1133.R,Inshore,CPSH_LR
2025.1.ANU.1134.R,Middle Reef,LIRM_LR
2025.1.ANU.1135.R,Inshore,RGSH_LR
2025.1.ANU.1136.R,Middle Reef,LIRM_HR
2025.1.ANU.1138.R,Inner Reef,LIRI_LR
2025.1.ANU.1139.R,Inshore,CPSH_LR
2025.1.ANU.1140.R,Inshore,CPSH_LR
2025.1.ANU.1141.R,Inshore,RGSH_LR
2025.1.ANU.1142.R,Inner Reef,LIRI_HR
2025.1.ANU.1143.R,Middle Reef,LIRM_LR
2025.1.ANU.1144.R,Middle Reef,LIRM_LR
2025.1.ANU.1145.R,Inshore,RGSH_LR
2025.1.ANU.1146.R,Inshore,RGSH_LR
2025.1.ANU.1147.R,Outer Reef,SPGR_HR
2025.1.ANU.1148.R,Inshore,RGSH_LR
2025.1.ANU.1149.R,Inshore,RGSH_LR
2025.1.ANU.1150.R,Outer Reef,LIRO_HR
2025.1.ANU.1151.R,Inner Reef,LIRI_LR
