timestamp,text
0:00,Transcript
0:01,here a list of all basic machine
0:04,learning terms in 22 minutes artificial
0:06,intelligence refers to the capability of
0:08,machines to perform tasks that typically
0:10,require human intelligence this can
0:11,include understanding language
0:13,recognizing images solving problems or
0:16,making decisions AI aims to mimic human
0:17,cognitive functions through various
0:19,techniques including machine learning
0:22,but not all AI is machine learning for
0:23,example rule-based systems can use
0:25,predefined logical rules to analyze
0:27,medical data and provide diagnostic
0:29,recommendations without needing to learn
0:31,from data patterns typical chess playing
0:33,engines would be considered AI but not
0:34,machine learning because they follow
0:36,specific rules in search algorithms and
0:38,don't always learn from data machine
0:39,learning is a branch of artificial
0:40,intelligence that enables computers to
0:42,learn from data and improve their
0:44,performance on tasks over time without
0:45,being explicitly programmed for each
0:48,task in machine learning algorithms
0:49,identify patterns and relationships
0:51,within data making predictions or
0:53,decisions based on new unseen
0:55,information for example a spam filter in
0:57,an email system uses machine learning to
0:59,identify and block spam emails it is
1:01,trained on thousands of examples of both
1:03,spam and non-spam emails learning which
1:05,words phrases or patterns are typically
1:08,found in spam messages over time it can
1:09,accurately flag new emails of spam or
1:11,legitimate based on these learned
1:13,patterns even if the specific content of
1:15,each new email varies in many ways this
1:16,is similar to how animals and humans
1:18,learn to recognize patterns over time
1:20,after seeing many examples of something
1:22,for example a human child might not be
1:23,able to tell the difference between a
1:26,cat and a dog but after years of having
1:27,someone point out cats and dogs it will
1:29,learn to recognize the features that
1:31,determine what a cat cat and a dog is an
1:32,algorithm is a set of well-defined
1:34,instructions or rules that a computer
1:36,follows to solve a problem or perform a
1:38,task algorithms are used in almost every
1:40,aspect of computing from sorting lists
1:42,and searching data to more complex
1:43,processes like encryption and data
1:45,analysis they provide step-by-step
1:47,procedures to achieve a specific goal
1:49,efficiently think for example of a
1:51,step-by-step recipe like this sandwich
1:54,making algorithm an example is dy stress
1:55,algorithm used in mapping applications
1:57,to find the shortest path between two
1:59,points by systematically evaluating
2:01,possible paths backstress algorithm
2:02,helps determine the quickest route for
2:04,navigation which is at the base of most
2:07,navigation apps like Google Maps data is
2:08,information that can be collected
2:10,analyzed and used to make decisions
2:12,predictions or provide insights than
2:14,spreadsheets in Computing and machine
2:16,learning data typically consists of
2:19,numbers text images or any form of input
2:21,that can be processed by algorithms for
2:23,example customer purchase histories are
2:24,a type of data that e-commerce companies
2:26,analyze to recommend products likely to
2:28,interest each user another example is
2:30,weather data which includes temperature
2:32,humidity and wind speed measurements
2:34,this data is used to predict future
2:36,weather patterns in the case of images
2:38,data refers to a list of pixel
2:40,intensities and possibly colors used by
2:42,image recognition algorithms in the case
2:44,of text Data could simply be a list of
2:46,words and a text in their frequencies
2:49,data can come in many forms a model in
2:50,machine learning is a mathematical
2:52,representation that is trained to
2:53,recognize patterns in data and make
2:55,predictions or classifications based on
2:57,those patterns the most common type of
2:59,model is simply a mapping function
3:01,between a an input and an output in
3:03,linear regression for example the model
3:04,is simply the equation of the final
3:07,regression line in its simplest form we
3:08,might have a model that predicts a
3:10,linear relationship between square
3:12,footage of the house and the price of
3:15,the house for example if we plot all
3:16,house prices and their square footage
3:18,against each other we might find that on
3:20,average each additional square foot adds
3:23,$200 to the house price the number 200
3:24,comes from the fitting of a line to the
3:27,data which is now our train model the
3:28,train model is the intersection and
3:30,slope of the line the slope being 200
3:32,model fitting also called training or
3:34,learning is the process of adjusting a
3:36,model's parameters to find the best
3:37,match between the model's predictions
3:39,and the actual data if you think of
3:41,linear regression model fitting would be
3:43,trying out different lines until you
3:45,find the line with the best fit training
3:47,data is a carefully selected subset of
3:48,data used to teach machine learning
3:50,models how to make predictions it
3:52,consists of input examples paired with
3:54,their correct outputs allowing the model
3:56,to learn patterns and relationships for
3:58,instance in an email spam filter the
3:59,training data would include thousands of
4:01,emails labeled as either spam or not
4:04,spam teaching the system to recognize
4:05,the characteristics of unwanted messages
4:07,similarly for an image recognition
4:09,system that identifies cats and dogs the
4:11,training data would contain numerous
4:14,images labeled as either cat or dog
4:15,helping the model learn the visual
4:17,patterns that Define what cats and dogs
4:20,look like test data or test set is a
4:21,separate collection of data used to
4:23,evaluate how well a machine learning
4:25,model performs on examples it hasn't
4:27,seen during training like training data
4:29,it includes both inputs and their
4:30,correct answers
4:31,but these examples are kept completely
4:33,separate from the training process this
4:35,testing process helps verify whether the
4:37,model has truly learned to make good
4:39,predictions rather than just memorizing
4:41,its training examples importantly the
4:42,test and training data are separated
4:44,randomly before beginning the modeling
4:46,process so that the model can never see
4:48,the test data in any way before running
4:50,the final test any inadvertent inclusion
4:52,of even parts of the test data in model
4:54,training is called Data leakage
4:56,supervised learning is a foundational
4:57,approach in machine learning where
4:59,models learn from labeled examples
5:01,meaning the true outcomes or targets are
5:02,known and provided much like a student
5:03,learning from problems with their
5:06,answers provided each example in the
5:08,training data includes both of the input
5:09,and the correct output allowing the
5:11,model to learn the relationship between
5:13,them for instance an image recognition
5:15,system would train on images that have
5:17,been pre-labeled with their contents
5:19,such as dog or cat this is arguably the
5:21,most common type of machine learning
5:23,probably making up around 70% of machine
5:25,learning applications unsupervised
5:27,learning is a type of machine learning
5:28,where models learn to find patterns and
5:30,structure in data without being given
5:32,labeled examples or correct answers
5:33,rather than being taught what to look
5:36,for these algorithms discover natural
5:37,groupings and relationships within the
5:39,data on their own for example an
5:41,unsupervised learning algorithm might
5:43,analyze customer purchase data to
5:45,identify groups of customers with
5:47,similar buying habits or examine social
5:49,media posts to discover trending topics
5:51,all without being told in advance what
5:53,patterns to look for this approach is
5:54,particularly valuable when we want to
5:56,explore data to uncover hidden patterns
5:57,but don't know exactly what we're
5:59,looking for No Labels or outcomes are
6:01,provided to the model during training
6:03,reinforcement learning is a newer branch
6:04,of machine learning that has recently
6:06,been accepted as a third main branch of
6:08,machine learning and has gain momentum
6:10,in the late 2010s particularly with the
6:11,success of deep Minds chess engine
6:15,alphago in 2016 it's distinct from both
6:16,supervised and unsupervised learning
6:18,because it operates on a fundamentally
6:20,different principle instead of learning
6:22,from pre-labeled examples supervised or
6:24,finding patterns in unlabeled data
6:26,unsupervised it learns from interaction
6:28,and feedback unlike supervised learning
6:30,where examples have clear right answers
6:32,reinforcement learning is more like
6:34,training a pet the agent learns through
6:35,trial and error getting rewarded for
6:37,good decisions and penalized for poor
6:39,ones for example a reinforcement
6:40,learning algorithm can learn to play
6:42,chess by playing thousands of games
6:44,against itself receiving positive
6:45,rewards for winning moves and negative
6:47,rewards for losing ones this approach is
6:49,particularly powerful for tasks
6:51,involving sequential decision-making
6:52,like gam playing robotic control or
6:54,optimizing business strategies when
6:56,there are no clear labels but an idea of
6:58,what is a good or bad outcome many basic
7:00,machine learning courses don't cover
7:01,reinforcement learning as a basic
7:03,machine learning Branch but as an
7:04,advanced topic since it is still fairly
7:07,Niche a feature also called a predictive
7:09,variable input variable independent
7:11,variable or attribute is a specific
7:13,piece of information or characteristic
7:14,used as input for a machine learning
7:16,model essentially it's any measurable
7:17,property that helps the model make
7:20,predictions for example in a house price
7:22,prediction model features might include
7:23,the square footage number of bedrooms
7:25,location and age of the house for an
7:27,email spam detector features could
7:29,include the number of capitalized words
7:31,the number of URLs in the text or
7:33,whether the sender is in your contacts
7:34,the selection and Engineering of
7:36,relevant features sometimes called
7:38,feature extraction or feature design is
7:41,often crucial to a model success as they
7:43,need to capture the important aspects of
7:44,the data that relate to the prediction
7:46,task feature engineering is the process
7:48,of creating new more informative
7:50,features from existing raw data to
7:52,improve a model's performance feature
7:54,engineering involves using domain
7:56,knowledge and creativity to transform or
7:58,combine original features into more
8:00,meaningful ones for for example instead
8:01,of just using raw date values you might
8:03,create features like day of the week or
8:05,is holiday which will probably explain
8:07,fluctuations of sales much better good
8:09,feature engineering often makes the
8:10,difference between an average model and
8:12,an excellent one as it helps the model
8:14,focus on the most relevant patterns in
8:16,the data feature scaling also called
8:18,normalization or standardization is the
8:20,process of transforming numeric features
8:22,to a similar scale typically to prevent
8:24,features with larger ranges from
8:25,dominating the learning process for
8:27,example here the numbers for salary are
8:29,much larger than those for age and
8:31,dominate the model fitting common
8:32,scaling methods include minmax
8:34,normalization thus scaling to a 0 to one
8:36,range as seen here or standardization
8:38,transforming to mean zero and standard
8:40,deviation one proper scaling is
8:41,particularly important for many
8:43,algorithms like gradient descent and
8:45,neural networks which can perform poorly
8:47,or converge slowly when features are on
8:49,vastly different scales dimensionality
8:51,refers to the number of features also
8:52,called Dimensions variables or
8:54,attributes in a data set for example in
8:56,a house price prediction model if each
8:58,house is described by square footage
9:01,number of bedrooms location age number
9:03,of bathrooms and distance from the city
9:05,center the data has six dimensions High
9:08,dimensional data having many features
9:10,can pose unique challenges often called
9:12,The Curse of dimensionality as
9:14,Dimensions increase data becomes more
9:15,sparse and patterns become harder to
9:17,find much like trying to find a needle
9:20,in an increasingly large Hast stack this
9:21,is why dimensionality reduction
9:22,techniques are often crucial in machine
9:24,learning helping to compress many
9:26,features into a smaller set while
9:28,preserving important information feature
9:29,engineering feature scale and
9:31,dimensionality reduction are all part of
9:33,data pre-processing along with other
9:35,techniques a Target also called the
9:37,dependent variable output variable
9:39,response variable or label is what a
9:40,machine learning model is trying to
9:42,predict based on the features for
9:43,example in a house price prediction
9:45,model the target would be the actual
9:47,sale price of the house while in an
9:49,email spam detector the target would be
9:52,whether an email is Spam or not spam in
9:54,supervised learning the training data
9:55,must include both features and their
9:57,corresponding Target values allowing the
9:59,model to learn the relationship between
10:02,them an instance also called a sample
10:05,example record data point or observation
10:06,is a single complete unit of data that
10:09,includes all features and in supervised
10:10,learning it's Target value in this
10:12,example it's one person with their name
10:14,age income and marital status for house
10:16,prediction it might be a single house
10:17,with all its characteristics like square
10:20,footage and price a typical machine
10:22,learning data set consists of many such
10:23,instances which together form the
10:25,training or test data think of an
10:27,instance as one row in a data table or
10:29,spreadsheet with the columns being the
10:30,feature features and the target the
10:32,entire table would be called your data
10:36,set a label also called a class Target
